"키","적용지역","상위지역","하위지역","상태","위도","경도","표시주소","조회문구"
"광주광역시|북구|건국동","광주광역시","북구","건국동","NOT_FOUND","","","","광주광역시 북구 건국동 대한민국"
"광주광역시|북구|동림동","광주광역시","북구","동림동","OK","35.1857085","126.8675028","광주광역시 장애인종합복지관, 219, 북문대로, 동림동, 북구, 광주, 전남광주통합특별시, 61096, 대한민국","광주광역시 북구 동림동 대한민국"
"광주광역시|북구|두암동","광주광역시","북구","두암동","NOT_FOUND","","","","광주광역시 북구 두암동 대한민국"
"광주광역시|북구|매곡동","광주광역시","북구","매곡동","OK","35.1830059","126.8856802","광주광역시 시립 미술관, 호남고속도로, 운암동, 북구, 광주, 전남광주통합특별시, 61099, 대한민국","광주광역시 북구 매곡동 대한민국"
"광주광역시|북구|문화동","광주광역시","북구","문화동","NOT_FOUND","","","","광주광역시 북구 문화동 대한민국"
"광주광역시|북구|문흥동","광주광역시","북구","문흥동","NOT_FOUND","","","","광주광역시 북구 문흥동 대한민국"
"광주광역시|북구|삼각동","광주광역시","북구","삼각동","NOT_FOUND","","","","광주광역시 북구 삼각동 대한민국"
"광주광역시|북구|석곡동","광주광역시","북구","석곡동","NOT_FOUND","","","","광주광역시 북구 석곡동 대한민국"
"광주광역시|북구|신안동","광주광역시","북구","신안동","NOT_FOUND","","","","광주광역시 북구 신안동 대한민국"
"광주광역시|북구|신용동","광주광역시","북구","신용동","NOT_FOUND","","","","광주광역시 북구 신용동 대한민국"
"광주광역시|북구|양산동","광주광역시","북구","양산동","NOT_FOUND","","","","광주광역시 북구 양산동 대한민국"
"광주광역시|북구|오치동","광주광역시","북구","오치동","NOT_FOUND","","","","광주광역시 북구 오치동 대한민국"
"광주광역시|북구|용봉동","광주광역시","북구","용봉동","NOT_FOUND","","","","광주광역시 북구 용봉동 대한민국"
"광주광역시|북구|우산동","광주광역시","북구","우산동","NOT_FOUND","","","","광주광역시 북구 우산동 대한민국"
"광주광역시|북구|운암동","광주광역시","북구","운암동","OK","35.1835471","126.8857600","광주광역시 시립 어린이 미술관, 호남고속도로, 운암동, 북구, 광주, 전남광주통합특별시, 61099, 대한민국","광주광역시 북구 운암동 대한민국"
"광주광역시|북구|일곡동","광주광역시","북구","일곡동","NOT_FOUND","","","","광주광역시 북구 일곡동 대한민국"
"광주광역시|북구|임동","광주광역시","북구","임동","NOT_FOUND","","","","광주광역시 북구 임동 대한민국"
"광주광역시|북구|중앙동","광주광역시","북구","중앙동","NOT_FOUND","","","","광주광역시 북구 중앙동 대한민국"
"광주광역시|북구|중흥동","광주광역시","북구","중흥동","NOT_FOUND","","","","광주광역시 북구 중흥동 대한민국"
"광주광역시|북구|풍향동","광주광역시","북구","풍향동","NOT_FOUND","","","","광주광역시 북구 풍향동 대한민국"
"광주광역시|서구|광천동","광주광역시","서구","광천동","NOT_FOUND","","","","광주광역시 서구 광천동 대한민국"
"광주광역시|서구|금호동","광주광역시","서구","금호동","NOT_FOUND","","","","광주광역시 서구 금호동 대한민국"
"광주광역시|서구|농성동","광주광역시","서구","농성동","NOT_FOUND","","","","광주광역시 서구 농성동 대한민국"
"광주광역시|서구|동천동","광주광역시","서구","동천동","NOT_FOUND","","","","광주광역시 서구 동천동 대한민국"
"광주광역시|서구|상무동","광주광역시","서구","상무동","NOT_FOUND","","","","광주광역시 서구 상무동 대한민국"
"광주광역시|서구|서창동","광주광역시","서구","서창동","OK","35.1455116","126.8477779","광주광역시 도시철도공사, 상무대로, 마륵동, 서창동, 서구, 광주, 전남광주통합특별시, 61961, 대한민국","광주광역시 서구 서창동 대한민국"
"광주광역시|서구|양동","광주광역시","서구","양동","NOT_FOUND","","","","광주광역시 서구 양동 대한민국"
"광주광역시|서구|유덕동","광주광역시","서구","유덕동","OK","35.1619213","126.8449313","광주광역시 보건환경연구원, 천변우하로, 유촌동, 유덕동, 서구, 광주, 전남광주통합특별시, 61944, 대한민국","광주광역시 서구 유덕동 대한민국"
"광주광역시|서구|치평동","광주광역시","서구","치평동","OK","35.1599578","126.8523582","광주광역시 소방안전본부, 111, 계수로, 치평동, 서구, 광주, 전남광주통합특별시, 61945, 대한민국","광주광역시 서구 치평동 대한민국"
"광주광역시|서구|풍암동","광주광역시","서구","풍암동","OK","35.1362494","126.8801135","광주광역시 장애인국민체육센터, 월드컵동로, 풍암동, 서구, 광주, 전남광주통합특별시, 62048, 대한민국","광주광역시 서구 풍암동 대한민국"
"광주광역시|서구|화정동","광주광역시","서구","화정동","OK","35.1475013","126.8785803","광주광역시 교육정보원, 30, 화정로189번길, 화정동, 화정2동, 서구, 광주, 전남광주통합특별시, 62045, 대한민국","광주광역시 서구 화정동 대한민국"
"김해|김해|내외동","김해","김해","내외동","OK","35.2351995","128.8646188","내외동, 주촌면, 김해시, 경상남도, 50952, 대한민국","내외동 김해시"
"김해|김해|대동면","김해","김해","대동면","NOT_FOUND","","","","경상남도 김해시 대동면 대한민국"
"김해|김해|동상동","김해","김해","동상동","NOT_FOUND","","","","경상남도 김해시 동상동 대한민국"
"김해|김해|부원동","김해","김해","부원동","NOT_FOUND","","","","경상남도 김해시 부원동 대한민국"
"김해|김해|북부동","김해","김해","북부동","NOT_FOUND","","","","경상남도 김해시 북부동 대한민국"
"김해|김해|불암동","김해","김해","불암동","OK","35.2275100","128.9225000","불암동, 수안리, 김해시, 경상남도, 50937, 대한민국","불암동 김해시"
"김해|김해|삼안동","김해","김해","삼안동","NOT_FOUND","","","","경상남도 김해시 삼안동 대한민국"
"김해|김해|상동면","김해","김해","상동면","OK","35.3079709","128.9304127","상동면, 김해시, 경상남도, 50805, 대한민국","상동면 김해시"
"김해|김해|생림면","김해","김해","생림면","OK","35.3278686","128.8490765","생림면, 김해시, 경상남도, 50801, 대한민국","생림면 김해시"
"김해|김해|장유동","김해","김해","장유동","NOT_FOUND","","","","경상남도 김해시 장유동 대한민국"
"김해|김해|주촌면","김해","김해","주촌면","OK","35.2323414","128.8414118","주촌면, 김해시, 경상남도, 50966, 대한민국","주촌면 김해시"
"김해|김해|진례면","김해","김해","진례면","NOT_FOUND","","","","경상남도 김해시 진례면 대한민국"
"김해|김해|진영읍","김해","김해","진영읍","NOT_FOUND","","","","경상남도 김해시 진영읍 대한민국"
"김해|김해|칠산서부동","김해","김해","칠산서부동","NOT_FOUND","","","","경상남도 김해시 칠산서부동 대한민국"
"김해|김해|한림면","김해","김해","한림면","NOT_FOUND","","","","경상남도 김해시 한림면 대한민국"
"김해|김해|활천동","김해","김해","활천동","NOT_FOUND","","","","경상남도 김해시 활천동 대한민국"
"김해|김해|회현동","김해","김해","회현동","OK","35.2272293 35.2361153 35.2315070 35.2356769","128.8781677 128.8808784 128.8782177 128.8742268","회현동-3, 가락로15번길, 봉황동, 주촌면, 김해시, 경상남도, 50920, 대한민국 회현동-2, 가락로, 서상동, 주촌면, 김해시, 경상남도, 50916, 대한민국 회현동 행정복지센터, 33, 가락로63번길, 봉황동, 주촌면, 김해시, 경상남도, 50920, 대한민국 회현동-1, 가락로125번길, 대성동, 주촌면, 김해시, 경상남도, 50920, 대한민국","회현동 김해시"
"대구|군위군|군위읍","대구","군위군","군위읍","NOT_FOUND","","","","대구광역시 군위군 군위읍 대한민국"
"대구|군위군|부계면","대구","군위군","부계면","NOT_FOUND","","","","대구광역시 군위군 부계면 대한민국"
"대구|군위군|산성면","대구","군위군","산성면","NOT_FOUND","","","","대구광역시 군위군 산성면 대한민국"
"대구|군위군|삼국유사면","대구","군위군","삼국유사면","NOT_FOUND","","","","대구광역시 군위군 삼국유사면 대한민국"
"대구|군위군|소보면","대구","군위군","소보면","NOT_FOUND","","","","대구광역시 군위군 소보면 대한민국"
"대구|군위군|우보면","대구","군위군","우보면","NOT_FOUND","","","","대구광역시 군위군 우보면 대한민국"
"대구|군위군|의흥면","대구","군위군","의흥면","OK","36.1686400","128.7358200","의흥면, 군위군, 대구광역시, 대한민국","의흥면 대구광역시 군위군"
"대구|군위군|효령면","대구","군위군","효령면","OK","36.1466300","128.5954400","효령면, 군위군, 대구광역시, 대한민국","효령면 대구광역시 군위군"
"대구|남구|대명동","대구","남구","대명동","NOT_FOUND","","","","대구광역시 남구 대명동 대한민국"
"대구|남구|봉덕동","대구","남구","봉덕동","OK","35.8289645 35.8405228","128.5985623 128.5985277","봉덕동, 남구, 대구광역시, 대한민국 봉덕동, 봉덕3동, 남구, 대구광역시, 42506, 대한민국","봉덕동 대구광역시 남구"
"대구|남구|이천동","대구","남구","이천동","OK","35.8519911","128.6011321","이천동, 남구, 대구광역시, 대한민국","이천동 대구광역시 남구"
"대구|달서구|감삼동","대구","달서구","감삼동","OK","35.8485482","128.5409150","감삼동, 달서구, 대구광역시, 대한민국","감삼동 대구광역시 달서구"
"대구|달서구|도원동","대구","달서구","도원동","NOT_FOUND","","","","대구광역시 달서구 도원동 대한민국"
"대구|달서구|두류1.2동","대구","달서구","두류1.2동","NOT_FOUND","","","","대구광역시 달서구 두류1.2동 대한민국"
"대구|달서구|두류동","대구","달서구","두류동","OK","35.8566057 35.8538689","128.5648257 128.5611073","두류동, 두류1·2동, 달서구, 대구광역시, 41863, 대한민국 두류동, 달서구, 대구광역시, 대한민국","두류동 대구광역시 달서구"
"대구|달서구|본동","대구","달서구","본동","NOT_FOUND","","","","대구광역시 달서구 본동 대한민국"
"대구|달서구|본리동","대구","달서구","본리동","NOT_FOUND","","","","대구광역시 달서구 본리동 대한민국"
"대구|달서구|상인동","대구","달서구","상인동","NOT_FOUND","","","","대구광역시 달서구 상인동 대한민국"
"대구|달서구|성당동","대구","달서구","성당동","OK","35.8426178","128.5540792","성당동, 달서구, 대구광역시, 대한민국","성당동 대구광역시 달서구"
"대구|달서구|송현동","대구","달서구","송현동","NOT_FOUND","","","","대구광역시 달서구 송현동 대한민국"
"대구|달서구|신당동","대구","달서구","신당동","NOT_FOUND","","","","대구광역시 달서구 신당동 대한민국"
"대구|달서구|용산동","대구","달서구","용산동","NOT_FOUND","","","","대구광역시 달서구 용산동 대한민국"
"대구|달서구|월성동","대구","달서구","월성동","NOT_FOUND","","","","대구광역시 달서구 월성동 대한민국"
"대구|달서구|유천동","대구","달서구","유천동","NOT_FOUND","","","","대구광역시 달서구 유천동 대한민국"
"대구|달서구|이곡동","대구","달서구","이곡동","OK","35.8540900 35.8524742","128.5076400 128.5076890","이곡동, 이곡1동, 달서구, 대구광역시, 42620, 대한민국 이곡동, 달서구, 대구광역시, 대한민국","이곡동 대구광역시 달서구"
"대구|달서구|장기동","대구","달서구","장기동","NOT_FOUND","","","","대구광역시 달서구 장기동 대한민국"
"대구|달서구|죽전동","대구","달서구","죽전동","NOT_FOUND","","","","대구광역시 달서구 죽전동 대한민국"
"대구|달서구|진천동","대구","달서구","진천동","OK","35.8122082 35.8038038","128.5228126 128.5005476","진천동 행정복지센터, 33, 진천로9길, 진천동, 달서구, 대구광역시, 42772, 대한민국 화원읍 행정복지센터, 2594, 비슬로, 진천동, 화원읍, 달성군, 대구광역시, 42962, 대한민국","행정복지센터 진천동 대구광역시 달서구"
"대구|달성군|가창면","대구","달성군","가창면","NOT_FOUND","","","","대구광역시 달성군 가창면 대한민국"
"대구|달성군|구지면","대구","달성군","구지면","NOT_FOUND","","","","대구광역시 달성군 구지면 대한민국"
"대구|달성군|논공읍","대구","달성군","논공읍","NOT_FOUND","","","","대구광역시 달성군 논공읍 대한민국"
"대구|달성군|다사읍","대구","달성군","다사읍","OK","35.8757718","128.5128957","대구광역시 쓰레기 매립장, 다사읍, 달성군, 대구광역시, 대한민국","대구광역시 달성군 다사읍 대한민국"
"대구|달성군|옥포읍","대구","달성군","옥포읍","NOT_FOUND","","","","대구광역시 달성군 옥포읍 대한민국"
"대구|달성군|유가읍","대구","달성군","유가읍","NOT_FOUND","","","","대구광역시 달성군 유가읍 대한민국"
"대구|달성군|하빈면","대구","달성군","하빈면","OK","35.8955154","128.4246415","하빈면, 달성군, 대구광역시, 대한민국","하빈면 대구광역시 달성군"
"대구|달성군|현풍읍","대구","달성군","현풍읍","NOT_FOUND","","","","대구광역시 달성군 현풍읍 대한민국"
"대구|달성군|화원읍","대구","달성군","화원읍","OK","35.8024072","128.4964134","화원읍, 달성군, 대구광역시, 대한민국","화원읍 대구광역시 달성군"
"대구|동구|공산동","대구","동구","공산동","NOT_FOUND","","","","대구광역시 동구 공산동 대한민국"
"대구|동구|도평동","대구","동구","도평동","NOT_FOUND","","","","대구광역시 동구 도평동 대한민국"
"대구|동구|동촌동","대구","동구","동촌동","OK","35.8897019","128.6526248","동촌동, 동구, 대구광역시, 41143, 대한민국","동촌동 대구광역시 동구"
"대구|동구|방촌동","대구","동구","방촌동","NOT_FOUND","","","","대구광역시 동구 방촌동 대한민국"
"대구|동구|불로.봉무동","대구","동구","불로.봉무동","NOT_FOUND","","","","대구광역시 동구 불로.봉무동 대한민국"
"대구|동구|신암동","대구","동구","신암동","OK","35.8839900","128.6235900","신암동, 동구, 대구광역시, 41199, 대한민국","신암동 대구광역시 동구"
"대구|동구|신천1.2동","대구","동구","신천1.2동","NOT_FOUND","","","","대구광역시 동구 신천1.2동 대한민국"
"대구|동구|신천동","대구","동구","신천동","OK","35.8725700","128.6218100","신천동, 신천3동, 동구, 대구광역시, 41257, 대한민국","신천동 대구광역시 동구"
"대구|동구|안심동","대구","동구","안심동","NOT_FOUND","","","","대구광역시 동구 안심동 대한민국"
"대구|동구|지저동","대구","동구","지저동","OK","35.8959979","128.6394776","지저동, 동구, 대구광역시, 대한민국","지저동 대구광역시 동구"
"대구|동구|해안동","대구","동구","해안동","NOT_FOUND","","","","대구광역시 동구 해안동 대한민국"
"대구|동구|혁신동","대구","동구","혁신동","NOT_FOUND","","","","대구광역시 동구 혁신동 대한민국"
"대구|동구|효목동","대구","동구","효목동","NOT_FOUND","","","","대구광역시 동구 효목동 대한민국"
"대구|북구|검단동","대구","북구","검단동","NOT_FOUND","","","","대구광역시 북구 검단동 대한민국"
"대구|북구|고성동","대구","북구","고성동","NOT_FOUND","","","","대구광역시 북구 고성동 대한민국"
"대구|북구|관문동","대구","북구","관문동","NOT_FOUND","","","","대구광역시 북구 관문동 대한민국"
"대구|북구|관음동","대구","북구","관음동","OK","35.9398600","128.5438200","관음동, 북구, 대구광역시, 대한민국","관음동 대구광역시 북구"
"대구|북구|구암동","대구","북구","구암동","OK","35.9295590","128.5581603","구암동, 북구, 대구광역시, 대한민국","구암동 대구광역시 북구"
"대구|북구|국우동","대구","북구","국우동","NOT_FOUND","","","","대구광역시 북구 국우동 대한민국"
"대구|북구|노원동","대구","북구","노원동","NOT_FOUND","","","","대구광역시 북구 노원동 대한민국"
"대구|북구|대현동","대구","북구","대현동","NOT_FOUND","","","","대구광역시 북구 대현동 대한민국"
"대구|북구|동천동","대구","북구","동천동","NOT_FOUND","","","","대구광역시 북구 동천동 대한민국"
"대구|북구|무태조야동","대구","북구","무태조야동","NOT_FOUND","","","","대구광역시 북구 무태조야동 대한민국"
"대구|북구|복현동","대구","북구","복현동","NOT_FOUND","","","","대구광역시 북구 복현동 대한민국"
"대구|북구|산격동","대구","북구","산격동","OK","35.9016300 35.9001875","128.6046400 128.6041634","산격동, 산격1동, 북구, 대구광역시, 41519, 대한민국 산격동, 북구, 대구광역시, 대한민국","산격동 대구광역시 북구"
"대구|북구|읍내동","대구","북구","읍내동","NOT_FOUND","","","","대구광역시 북구 읍내동 대한민국"
"대구|북구|칠성동","대구","북구","칠성동","NOT_FOUND","","","","대구광역시 북구 칠성동 대한민국"
"대구|북구|침산동","대구","북구","침산동","NOT_FOUND","","","","대구광역시 북구 침산동 대한민국"
"대구|북구|태전동","대구","북구","태전동","OK","35.9214358 35.9234127","128.5461523 128.5459483","태전동, 북구, 대구광역시, 대한민국 태전동, 태전1동, 북구, 대구광역시, 41457, 대한민국","태전동 대구광역시 북구"
"대구|서구|내당2.3동","대구","서구","내당2.3동","OK","35.8663564","128.5670783","call mart, 대구광역시 서구 내당동 923-181, 달구벌대로371길, 내당2·3동, 서구, 대구광역시, 41832, 대한민국","대구광역시 서구 내당2.3동 대한민국"
"대구|서구|내당동","대구","서구","내당동","OK","35.8663564","128.5670783","call mart, 대구광역시 서구 내당동 923-181, 달구벌대로371길, 내당2·3동, 서구, 대구광역시, 41832, 대한민국","대구광역시 서구 내당동 대한민국"
"대구|서구|비산2.3동","대구","서구","비산2.3동","NOT_FOUND","","","","대구광역시 서구 비산2.3동 대한민국"
"대구|서구|비산동","대구","서구","비산동","NOT_FOUND","","","","대구광역시 서구 비산동 대한민국"
"대구|서구|상중이동","대구","서구","상중이동","NOT_FOUND","","","","대구광역시 서구 상중이동 대한민국"
"대구|서구|원대동","대구","서구","원대동","NOT_FOUND","","","","대구광역시 서구 원대동 대한민국"
"대구|서구|평리동","대구","서구","평리동","NOT_FOUND","","","","대구광역시 서구 평리동 대한민국"
"대구|수성구|고산동","대구","수성구","고산동","NOT_FOUND","","","","대구광역시 수성구 고산동 대한민국"
"대구|수성구|두산동","대구","수성구","두산동","OK","35.8307094","128.6198490","두산동, 수성구, 대구광역시, 대한민국","두산동 대구광역시 수성구"
"대구|수성구|만촌동","대구","수성구","만촌동","NOT_FOUND","","","","대구광역시 수성구 만촌동 대한민국"
"대구|수성구|범물동","대구","수성구","범물동","OK","35.8101220 35.8173966","128.6548082 128.6468561","범물동, 수성구, 대구광역시, 대한민국 범물동, 범물1동, 수성구, 대구광역시, 42241, 대한민국","범물동 대구광역시 수성구"
"대구|수성구|범어동","대구","수성구","범어동","NOT_FOUND","","","","대구광역시 수성구 범어동 대한민국"
"대구|수성구|상동","대구","수성구","상동","OK","35.8580604","128.6152862","대구광역시 교육청, 수성로, 수성동1가, 수성2·3가동, 수성구, 대구광역시, 42135, 대한민국","대구광역시 수성구 상동 대한민국"
"대구|수성구|수성1가동","대구","수성구","수성1가동","OK","35.8580604","128.6152862","대구광역시 교육청, 수성로, 수성동1가, 수성2·3가동, 수성구, 대구광역시, 42135, 대한민국","대구광역시 수성구 수성1가동 대한민국"
"대구|수성구|수성2.3가동","대구","수성구","수성2.3가동","OK","35.8580604","128.6152862","대구광역시 교육청, 수성로, 수성동1가, 수성2·3가동, 수성구, 대구광역시, 42135, 대한민국","대구광역시 수성구 수성2.3가동 대한민국"
"대구|수성구|수성4가동","대구","수성구","수성4가동","NOT_FOUND","","","","대구광역시 수성구 수성4가동 대한민국"
"대구|수성구|중동","대구","수성구","중동","OK","35.8580604","128.6152862","대구광역시 교육청, 수성로, 수성동1가, 수성2·3가동, 수성구, 대구광역시, 42135, 대한민국","대구광역시 수성구 중동 대한민국"
"대구|수성구|지산동","대구","수성구","지산동","NOT_FOUND","","","","대구광역시 수성구 지산동 대한민국"
"대구|수성구|파동","대구","수성구","파동","OK","35.8147288","128.6153796","파동, 수성구, 대구광역시, 대한민국","파동 대구광역시 수성구"
"대구|수성구|황금동","대구","수성구","황금동","NOT_FOUND","","","","대구광역시 수성구 황금동 대한민국"
"대구|중구|남산동","대구","중구","남산동","NOT_FOUND","","","","대구광역시 중구 남산동 대한민국"
"대구|중구|대봉동","대구","중구","대봉동","NOT_FOUND","","","","대구광역시 중구 대봉동 대한민국"
"대구|중구|대신동","대구","중구","대신동","OK","35.8669269","128.5793045","대신동, 중구, 대구광역시, 대한민국","대신동 대구광역시 중구"
"대구|중구|동인동","대구","중구","동인동","NOT_FOUND","","","","대구광역시 중구 동인동 대한민국"
"대구|중구|삼덕동","대구","중구","삼덕동","NOT_FOUND","","","","대구광역시 중구 삼덕동 대한민국"
"대구|중구|성내동","대구","중구","성내동","OK","35.8719683 35.8693762","128.5904969 128.5911886","성내동, 성내2동, 중구, 대구광역시, 41935, 대한민국 성내동, 중구, 대구광역시, 대한민국","성내동 대구광역시 중구"
"대전|대덕구|대화동","대전","대덕구","대화동","NOT_FOUND","","","","대전광역시 대덕구 대화동 대한민국"
"대전|대덕구|덕암동","대전","대덕구","덕암동","NOT_FOUND","","","","대전광역시 대덕구 덕암동 대한민국"
