"업체명","적용지역","광역지역","상위지역","하위지역","검색문구","위도","경도","지오코딩상태","검색결과주소"
"한국미인테라피","경기","경기","광명시","광명동","대한민국 경기도 광명시 광명동","37.4755611","126.8538184","OK","광명동, 광명4동, 광명시, 경기도, 14268, 대한민국"
"한국미인테라피","경기","경기","광명시","소하동","대한민국 경기도 광명시 소하동","37.4432784","126.8823406","OK","소하동, 소하2동, 광명시, 경기도, 14323, 대한민국"
"한국미인테라피","경기","경기","광명시","일직동","대한민국 경기도 광명시 일직동","37.4194860","126.8837827","OK","일직동, 광명시, 경기도, 대한민국"
"한국미인테라피","경기","경기","광명시","철산동","대한민국 경기도 광명시 철산동","37.4802090","126.8678124","OK","철산동, 철산3동, 광명시, 경기도, 14233, 대한민국"
"한국미인테라피","경기","경기","광명시","하안동","대한민국 경기도 광명시 하안동","37.4611134","126.8698981","OK","하안동, 하안1동, 광명시, 경기도, 14259, 대한민국"
"한국미인테라피","경기","경기","광명시","학온동","대한민국 경기도 광명시 학온동","37.4307416","126.8540778","OK","학온동, 광명시, 경기도, 대한민국"
"한국미인테라피","경기","경기","광주시","경안동","대한민국 경기도 광주시 경안동","37.4112600","127.2539300","OK","경안동, 광주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","광주시","곤지암읍","대한민국 경기도 광주시 곤지암읍","37.3499544","127.3619528","OK","곤지암읍, 광주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","광주시","광남동","대한민국 경기도 광주시 광남동","37.3890193","127.2298173","OK","광남동 행정복지센터, 45, 태봉로, 태전동, 광남2동, 광주시, 경기도, 12784, 대한민국"
"한국미인테라피","경기","경기","광주시","남종면","대한민국 경기도 광주시 남종면","37.5004800","127.3175300","OK","남종면, 광주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","광주시","남한산성면","대한민국 경기도 광주시 남한산성면","37.4611375","127.2324427","OK","남한산성면, 광주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","광주시","능평동","대한민국 경기도 광주시 능평동","37.3505851","127.1616109","OK","능평동, 용산골, 광주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","광주시","도척면","대한민국 경기도 광주시 도척면","37.3062000","127.3180900","OK","도척면, 광주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","광주시","송정동","대한민국 경기도 광주시 송정동","37.4264102","127.2575353","OK","송정동, 광주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","광주시","신현동","대한민국 경기도 광주시 신현동","37.3653600","127.1597800","OK","신현동, 동막골, 광주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","광주시","쌍령동","대한민국 경기도 광주시 쌍령동","37.4030800","127.2708400","OK","쌍령동, 대쌍령리, 광주시, 경기도, 12791, 대한민국"
"한국미인테라피","경기","경기","광주시","오포동","대한민국 경기도 광주시 오포동","37.3654165","127.2326884","OK","오포동, 광주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","광주시","초월읍","대한민국 경기도 광주시 초월읍","37.3959800","127.3100900","OK","초월읍, 광주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","광주시","탄벌동","대한민국 경기도 광주시 탄벌동","37.4319006","127.2227948","OK","탄벌동, 광주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","광주시","퇴촌면","대한민국 경기도 광주시 퇴촌면","37.4587800","127.3256000","OK","퇴촌면, 광주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","구리시","갈매동","대한민국 경기도 구리시 갈매동","37.6310565","127.1168045","OK","갈매동, 구리시, 경기도, 11902, 대한민국"
"한국미인테라피","경기","경기","구리시","교문동","대한민국 경기도 구리시 교문동","37.5875737","127.1275277","OK","교문동, 구리시, 경기도, 11954, 대한민국"
"한국미인테라피","경기","경기","구리시","동구동","대한민국 경기도 구리시 동구동","37.6117004","127.1393514","OK","동구동 행정복지센터, 25, 동구릉로148번길, 인창동, 구리시, 경기도, 11915, 대한민국"
"한국미인테라피","경기","경기","구리시","수택동","대한민국 경기도 구리시 수택동","37.5962736","127.1419836","OK","수택동, 구리시, 경기도, 11932, 대한민국"
"한국미인테라피","경기","경기","구리시","인창동","대한민국 경기도 구리시 인창동","37.6130980","127.1319711","OK","인창동, 구리시, 경기도, 11914, 대한민국"
"한국미인테라피","경기","경기","군포시","광정동","대한민국 경기도 군포시 광정동","37.3652654","126.9277554","OK","광정동, 군포시, 경기도, 대한민국"
"한국미인테라피","경기","경기","군포시","군포동","대한민국 경기도 군포시 군포동","","","NOT_FOUND",""
"한국미인테라피","경기","경기","군포시","궁내동","대한민국 경기도 군포시 궁내동","37.3596587","126.9218365","OK","궁내동, 산본동, 경기도, 대한민국"
"한국미인테라피","경기","경기","군포시","금정동","대한민국 경기도 군포시 금정동","37.3653542","126.9393439","OK","금정동, 군포시, 경기도, 15827, 대한민국"
"한국미인테라피","경기","경기","군포시","대야동","대한민국 경기도 군포시 대야동","37.3303161","126.9153537","OK","대야동, 군포시, 경기도, 15886, 대한민국"
"한국미인테라피","경기","경기","군포시","산본동","대한민국 경기도 군포시 산본동","37.3595509","126.9203336","OK","산본동, 광정동, 군포시, 경기도, 대한민국"
"한국미인테라피","경기","경기","군포시","송부동","대한민국 경기도 군포시 송부동","37.3203965","126.9250291","OK","송부동, 군포시, 경기도, 대한민국"
"한국미인테라피","경기","경기","군포시","수리동","대한민국 경기도 군포시 수리동","37.3559970","126.9210314","OK","수리동, 산본동, 경기도, 대한민국"
"한국미인테라피","경기","경기","군포시","오금동","대한민국 경기도 군포시 오금동","37.3510196","126.9295394","OK","오금동, 금정동, 경기도, 대한민국"
"한국미인테라피","경기","경기","군포시","재궁동","대한민국 경기도 군포시 재궁동","37.3578972","126.9376392","OK","재궁동, 금정동, 경기도, 대한민국"
"한국미인테라피","경기","경기","김포시","고촌읍","대한민국 경기도 김포시 고촌읍","37.6059900","126.7619500","OK","고촌읍, 김포시, 경기도, 대한민국"
"한국미인테라피","경기","경기","김포시","구래동","대한민국 경기도 김포시 구래동","37.6438664","126.6290477","OK","구래동, 양곡리, 김포시, 경기도, 대한민국"
"한국미인테라피","경기","경기","김포시","김포본동","대한민국 경기도 김포시 김포본동","37.6275594","126.7056939","OK","김포본동 행정복지센터, 13, 북변1로, 북변동, 김포시, 경기도, 10106, 대한민국"
"한국미인테라피","경기","경기","김포시","대곶면","대한민국 경기도 김포시 대곶면","37.6520600","126.5716900","OK","대곶면, 김포시, 경기도, 대한민국"
"한국미인테라피","경기","경기","김포시","마산동","대한민국 경기도 김포시 마산동","37.6400169","126.6431466","OK","마산동, 구래리, 김포시, 경기도, 대한민국"
"한국미인테라피","경기","경기","김포시","사우동","대한민국 경기도 김포시 사우동","37.6199671","126.7263650","OK","사우동, 김포시, 경기도, 10111, 대한민국"
"한국미인테라피","경기","경기","김포시","양촌읍","대한민국 경기도 김포시 양촌읍","37.6570591","126.6254451","OK","양촌읍, 김포시, 경기도, 대한민국"
"한국미인테라피","경기","경기","김포시","운양동","대한민국 경기도 김포시 운양동","37.6562562","126.6829889","OK","운양동, 김포시, 경기도, 10078, 대한민국"
"한국미인테라피","경기","경기","김포시","월곶면","대한민국 경기도 김포시 월곶면","37.7181750","126.5500645","OK","월곶면, 김포시, 경기도, 10024, 대한민국"
"한국미인테라피","경기","경기","김포시","장기동","대한민국 경기도 김포시 장기동","37.6460000","126.6678400","OK","장기동, 석모리, 김포시, 경기도, 10080, 대한민국"
"한국미인테라피","경기","경기","김포시","장기본동","대한민국 경기도 김포시 장기본동","37.6523062","126.6717281","OK","장기본동 행정복지센터, 1433, 김포대로, 운양동, 누산리, 김포시, 경기도, 10081, 대한민국"
"한국미인테라피","경기","경기","김포시","통진읍","대한민국 경기도 김포시 통진읍","37.6948000","126.6031200","OK","통진읍, 김포시, 경기도, 대한민국"
"한국미인테라피","경기","경기","김포시","풍무동","대한민국 경기도 김포시 풍무동","37.6067383","126.7228355","OK","풍무동, 김포시, 경기도, 10114, 대한민국"
"한국미인테라피","경기","경기","김포시","하성면","대한민국 경기도 김포시 하성면","37.7297500","126.6361600","OK","하성면, 김포시, 경기도, 대한민국"
"한국미인테라피","경기","경기","남양주시","금곡동","대한민국 경기도 남양주시 금곡동","37.6334900","127.2165100","OK","금곡동, 율석리, 남양주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","남양주시","다산동","대한민국 경기도 남양주시 다산동","37.6113669","127.1602960","OK","다산동, 다산1동, 남양주시, 경기도, 12251, 대한민국"
"한국미인테라피","경기","경기","남양주시","별내동","대한민국 경기도 남양주시 별내동","37.6565148","127.1216627","OK","별내동, 퇴계원리, 남양주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","남양주시","별내면","대한민국 경기도 남양주시 별내면","37.7094209","127.1223847","OK","별내면, 남양주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","남양주시","수동면","대한민국 경기도 남양주시 수동면","37.7222169","127.3103805","OK","수동면, 남양주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","남양주시","양정동","대한민국 경기도 남양주시 양정동","37.6098927","127.1910156","OK","양정동, 남양주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","남양주시","오남읍","대한민국 경기도 남양주시 오남읍","37.6938801","127.2230356","OK","오남읍, 남양주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","남양주시","와부읍","대한민국 경기도 남양주시 와부읍","37.5946765","127.2374641","OK","와부읍, 남양주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","남양주시","조안면","대한민국 경기도 남양주시 조안면","37.5688200","127.2977100","OK","조안면, 남양주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","남양주시","진건읍","대한민국 경기도 남양주시 진건읍","37.6575320","127.1788606","OK","진건읍, 남양주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","남양주시","진접읍","대한민국 경기도 남양주시 진접읍","37.7228358","127.1976354","OK","진접읍, 남양주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","남양주시","퇴계원읍","대한민국 경기도 남양주시 퇴계원읍","37.6486812","127.1433630","OK","퇴계원읍, 남양주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","남양주시","평내동","대한민국 경기도 남양주시 평내동","37.6480755","127.2357794","OK","평내동, 남양주시, 경기도, 12217, 대한민국"
"한국미인테라피","경기","경기","남양주시","호평동","대한민국 경기도 남양주시 호평동","37.6576388","127.2465940","OK","호평동, 남양주시, 경기도, 12147, 대한민국"
"한국미인테라피","경기","경기","남양주시","화도읍","대한민국 경기도 남양주시 화도읍","37.6538308","127.3196785","OK","화도읍, 남양주시, 경기도, 12181, 대한민국"
"한국미인테라피","경기","경기","동두천시","보산동","대한민국 경기도 동두천시 보산동","37.9176604","127.0609443","OK","보산동, 동두천시, 경기도, 11309, 대한민국"
"한국미인테라피","경기","경기","동두천시","불현동","대한민국 경기도 동두천시 불현동","37.8984570","127.0625040","OK","불현동 행정복지센터, 123, 행선로, 생연동, 동두천시, 경기도, 11358, 대한민국"
"한국미인테라피","경기","경기","동두천시","상패동","대한민국 경기도 동두천시 상패동","37.9073575","127.0323924","OK","상패동, 동두천시, 경기도, 11340, 대한민국"
"한국미인테라피","경기","경기","동두천시","생연동","대한민국 경기도 동두천시 생연동","37.9051316","127.0609492","OK","생연동, 동두천시, 경기도, 11313, 대한민국"
"한국미인테라피","경기","경기","동두천시","소요동","대한민국 경기도 동두천시 소요동","37.9295380","127.0576286","OK","소요동 행정복지센터, 2706, 평화로, 동두천동, 동두천시, 경기도, 11307, 대한민국"
"한국미인테라피","경기","경기","동두천시","송내동","대한민국 경기도 동두천시 송내동","37.8811658","127.0616025","OK","송내동, 동두천시, 경기도, 11366, 대한민국"
"한국미인테라피","경기","경기","동두천시","중앙동","대한민국 경기도 동두천시 중앙동","37.9077636","127.0532058","OK","중앙동 행정복지센터, 172, 생연로, 보산동, 동두천시, 경기도, 11328, 대한민국"
"한국미인테라피","경기","경기","부천시-소사구","괴안동","대한민국 경기도 부천시 소사구 괴안동","37.4821599","126.8114808","OK","괴안동, 소사구, 부천시, 경기도, 대한민국"
"한국미인테라피","경기","경기","부천시-소사구","범박동","대한민국 경기도 부천시 소사구 범박동","37.4697151","126.8117156","OK","범박동, 소사구, 부천시, 경기도, 대한민국"
"한국미인테라피","경기","경기","부천시-소사구","소사본동","대한민국 경기도 부천시 소사구 소사본동","37.4734085","126.7947805","OK","소사본동, 소사구, 부천시, 경기도, 대한민국"
"한국미인테라피","경기","경기","부천시-소사구","송내동","대한민국 경기도 부천시 소사구 송내동","37.4829235","126.7630049","OK","송내동, 소사구, 부천시, 경기도, 14728, 대한민국"
"한국미인테라피","경기","경기","부천시-소사구","심곡본동","대한민국 경기도 부천시 소사구 심곡본동","37.4784640","126.7797815","OK","심곡본동, 소사구, 부천시, 경기도, 대한민국"
"한국미인테라피","경기","경기","부천시-소사구","역곡동","대한민국 경기도 부천시 소사구 역곡동","","","NOT_FOUND",""
"한국미인테라피","경기","경기","부천시-소사구","옥길동","대한민국 경기도 부천시 소사구 옥길동","37.4681285","126.8282883","OK","옥길동, 소사구, 부천시, 경기도, 14785, 대한민국"
"한국미인테라피","경기","경기","부천시-오정구","고강동","대한민국 경기도 부천시 오정구 고강동","37.5269263","126.8208568","OK","고강동 중앙경로당, 고리울로40번길, 고강동, 부천시, 경기도, 14408, 대한민국"
"한국미인테라피","경기","경기","부천시-오정구","고강본동","대한민국 경기도 부천시 오정구 고강본동","","","NOT_FOUND",""
"한국미인테라피","경기","경기","부천시-오정구","성곡동","대한민국 경기도 부천시 오정구 성곡동","","","NOT_FOUND",""
"한국미인테라피","경기","경기","부천시-오정구","신흥동","대한민국 경기도 부천시 오정구 신흥동","37.5199587","126.7737023","OK","신흥동 주민센터, 삼작로, 연립주택단지, 내동, 부천시, 경기도, 14451, 대한민국"
"한국미인테라피","경기","경기","부천시-오정구","오정동","대한민국 경기도 부천시 오정구 오정동","","","NOT_FOUND",""
"한국미인테라피","경기","경기","부천시-오정구","원종동","대한민국 경기도 부천시 오정구 원종동","","","NOT_FOUND",""
"한국미인테라피","경기","경기","부천시-원미구","도당동","대한민국 경기도 부천시 원미구 도당동","37.5139236","126.7827000","OK","도당동, 원미구, 부천시, 경기도, 대한민국"
"한국미인테라피","경기","경기","부천시-원미구","상동","대한민국 경기도 부천시 원미구 상동","37.5058355","126.7531743","OK","상동, 길주로, 원미구, 부천시, 경기도, 14545, 대한민국"
"한국미인테라피","경기","경기","부천시-원미구","소사동","대한민국 경기도 부천시 원미구 소사동","37.4862030","126.7953149","OK","소사동, 원미구, 부천시, 경기도, 대한민국"
"한국미인테라피","경기","경기","부천시-원미구","심곡동","대한민국 경기도 부천시 원미구 심곡동","37.4911516","126.7838692","OK","심곡동, 원미구, 부천시, 경기도, 대한민국"
"한국미인테라피","경기","경기","부천시-원미구","약대동","대한민국 경기도 부천시 원미구 약대동","37.5131306","126.7699687","OK","약대동, 원미구, 부천시, 경기도, 대한민국"
"한국미인테라피","경기","경기","부천시-원미구","역곡동","대한민국 경기도 부천시 원미구 역곡동","37.4903062","126.8083179","OK","역곡동, 원미구, 부천시, 경기도, 대한민국"
"한국미인테라피","경기","경기","부천시-원미구","원미동","대한민국 경기도 부천시 원미구 원미동","37.4926826","126.7914425","OK","원미동, 원미구, 부천시, 경기도, 14565, 대한민국"
"한국미인테라피","경기","경기","부천시-원미구","중동","대한민국 경기도 부천시 원미구 중동","37.4867775","126.7639671","OK","중동, 석천로2번길, 상동, 원미구, 부천시, 경기도, 14625, 대한민국"
"한국미인테라피","경기","경기","부천시-원미구","춘의동","대한민국 경기도 부천시 원미구 춘의동","37.5019274","126.8019570","OK","춘의동, 원미구, 부천시, 경기도, 대한민국"
"한국미인테라피","경기","경기","성남시-분당구","구미동","대한민국 경기도 성남시 분당구 구미동","37.3435400","127.1201200","OK","구미동, 분당구, 성남시, 경기도, 13634, 대한민국"
"한국미인테라피","경기","경기","성남시-분당구","금곡동","대한민국 경기도 성남시 분당구 금곡동","37.3607700","127.0974000","OK","금곡동, 분당구, 성남시, 경기도, 13552, 대한민국"
"한국미인테라피","경기","경기","성남시-분당구","백현동","대한민국 경기도 성남시 분당구 백현동","37.3887318","127.1078551","OK","백현동, 판교, 분당구, 성남시, 경기도, 13531, 대한민국"
"한국미인테라피","경기","경기","성남시-분당구","분당동","대한민국 경기도 성남시 분당구 분당동","37.3694400","127.1433600","OK","분당동, 분당, 분당구, 성남시, 경기도, 13584, 대한민국"
"한국미인테라피","경기","경기","성남시-분당구","삼평동","대한민국 경기도 성남시 분당구 삼평동","37.4017255","127.1019907","OK","삼평동, 판교, 분당구, 성남시, 경기도, 13487, 대한민국"
"한국미인테라피","경기","경기","성남시-분당구","서현동","대한민국 경기도 성남시 분당구 서현동","37.3817897","127.1327823","OK","서현동, 분당, 분당구, 성남시, 경기도, 13577, 대한민국"
"한국미인테라피","경기","경기","성남시-분당구","수내동","대한민국 경기도 성남시 분당구 수내동","37.3724400","127.1223600","OK","수내동, 분당, 분당구, 성남시, 경기도, 13599, 대한민국"
"한국미인테라피","경기","경기","성남시-분당구","야탑동","대한민국 경기도 성남시 분당구 야탑동","37.4058300","127.1458300","OK","야탑동, 분당구, 성남시, 경기도, 13512, 대한민국"
"한국미인테라피","경기","경기","성남시-분당구","운중동","대한민국 경기도 성남시 분당구 운중동","37.3944345","127.0745340","OK","운중동, 분당구, 성남시, 경기도, 13457, 대한민국"
"한국미인테라피","경기","경기","성남시-분당구","이매동","대한민국 경기도 성남시 분당구 이매동","37.3959400","127.1332700","OK","이매동, 판교, 분당구, 성남시, 경기도, 13569, 대한민국"
"한국미인테라피","경기","경기","성남시-분당구","정자동","대한민국 경기도 성남시 분당구 정자동","37.3662800","127.1187300","OK","정자동, 분당, 분당구, 성남시, 경기도, 13607, 대한민국"
"한국미인테라피","경기","경기","성남시-분당구","판교동","대한민국 경기도 성남시 분당구 판교동","37.3899495","127.0985928","OK","판교동, 판교, 분당구, 성남시, 경기도, 13479, 대한민국"
"한국미인테라피","경기","경기","성남시-수정구","고등동","대한민국 경기도 성남시 수정구 고등동","37.4305171","127.0959858","OK","고등동, 수정구, 성남시, 경기도, 13105, 대한민국"
"한국미인테라피","경기","경기","성남시-수정구","단대동","대한민국 경기도 성남시 수정구 단대동","37.4548200","127.1576700","OK","단대동, 수정구, 성남시, 경기도, 13142, 대한민국"
"한국미인테라피","경기","경기","성남시-수정구","복정동","대한민국 경기도 성남시 수정구 복정동","37.4589600","127.1334000","OK","복정동, 수정구, 성남시, 경기도, 13114, 대한민국"
"한국미인테라피","경기","경기","성남시-수정구","산성동","대한민국 경기도 성남시 수정구 산성동","37.4557600","127.1529100","OK","산성동, 수정구, 성남시, 경기도, 13127, 대한민국"
"한국미인테라피","경기","경기","성남시-수정구","수진동","대한민국 경기도 성남시 수정구 수진동","37.4389492","127.1296112","OK","수진동, 수정구, 성남시, 경기도, 13319, 대한민국"
"한국미인테라피","경기","경기","성남시-수정구","시흥동","대한민국 경기도 성남시 수정구 시흥동","37.4191100","127.1018600","OK","시흥동, 수정구, 성남시, 경기도, 13445, 대한민국"
"한국미인테라피","경기","경기","성남시-수정구","신촌동","대한민국 경기도 성남시 수정구 신촌동","37.4578856","127.1080213","OK","신촌동, 수정구, 성남시, 경기도, 13101, 대한민국"
"한국미인테라피","경기","경기","성남시-수정구","신흥동","대한민국 경기도 성남시 수정구 신흥동","37.4466800","127.1470500","OK","신흥동, 수정구, 성남시, 경기도, 13259, 대한민국"
"한국미인테라피","경기","경기","성남시-수정구","양지동","대한민국 경기도 성남시 수정구 양지동","37.4608584","127.1641951","OK","양지동, 수정구, 성남시, 경기도, 13152, 대한민국"
"한국미인테라피","경기","경기","성남시-수정구","위례동","대한민국 경기도 성남시 수정구 위례동","","","NOT_FOUND",""
