"검색문구","상태","위도","경도","검색결과주소","OSM종류","OSM_ID","오류"
"대한민국 경기도 고양시 일산동구 장항동","OK","37.6495000","126.7653867","장항동, 장항1동, 일산동구, 고양시, 경기도, 10429, 대한민국","node","3830221613",""
"대한민국 경기도 고양시 일산동구 정발산동","OK","37.6706405","126.7793564","정발산동, 일산동구, 고양시, 경기도, 대한민국","relation","15585873",""
"대한민국 경기도 고양시 일산동구 중산동","OK","37.6901545","126.7804306","중산동, 중산1동, 일산동구, 고양시, 경기도, 10333, 대한민국","node","3830223653",""
"대한민국 경기도 고양시 일산동구 풍산동","OK","37.6641595","126.8011521","풍산동, 일산동구, 고양시, 경기도, 대한민국","relation","15585874",""
"대한민국 경기도 고양시 일산서구 가좌동","OK","37.6839540","126.6997268","가좌동, 일산서구, 고양시, 경기도, 대한민국","relation","15585889",""
"대한민국 경기도 고양시 일산서구 대화동","OK","37.6777329","126.7502918","대화동, 일산서구, 고양시, 경기도, 대한민국","relation","15585886",""
"대한민국 경기도 고양시 일산서구 덕이동","OK","37.6957279","126.7448226","덕이동, 일산서구, 고양시, 경기도, 대한민국","relation","15585879",""
"대한민국 경기도 고양시 일산서구 송포동","OK","37.6691138","126.7174631","송포동, 일산서구, 고양시, 경기도, 대한민국","relation","15585888",""
"대한민국 경기도 고양시 일산서구 일산동","OK","37.6844028","126.7690149","일산동, 일산1동, 일산서구, 고양시, 경기도, 10352, 대한민국","node","3830221570",""
"대한민국 경기도 고양시 일산서구 주엽동","OK","37.6712292","126.7618004","주엽동, 주엽2동, 일산서구, 고양시, 경기도, 10388, 대한민국","node","3830221574",""
"대한민국 경기도 고양시 일산서구 탄현동","NOT_FOUND","","","","","",""
"대한민국 경기도 과천시 갈현동","OK","37.4149075","126.9824277","갈현동, 과천시, 경기도, 13840, 대한민국","node","4705475482",""
"대한민국 경기도 과천시 과천동","OK","37.4497001","127.0008925","과천동, 과천시, 경기도, 13815, 대한민국","node","415155274",""
"대한민국 경기도 과천시 문원동","OK","37.4210755","127.0012297","문원동, 과천시, 경기도, 13834, 대한민국","node","415155272",""
"대한민국 경기도 과천시 별양동","OK","37.4276861","126.9958682","별양동, 과천시, 경기도, 13834, 대한민국","node","4705475484",""
"대한민국 경기도 과천시 부림동","OK","37.4348254","126.9984635","부림동, 과천시, 경기도, 13831, 대한민국","node","415155270",""
"대한민국 경기도 과천시 원문동","OK","37.4222641","126.9914257","원문동, 과천시, 경기도, 13839, 대한민국","node","4705475483",""
"대한민국 경기도 과천시 중앙동","OK","37.4288386","126.9891084","중앙동, 과천시, 경기도, 13806, 대한민국","node","4705475485",""
"대한민국 경기도 광명시 광명동","OK","37.4755611","126.8538184","광명동, 광명4동, 광명시, 경기도, 14268, 대한민국","node","4911938613",""
"대한민국 경기도 광명시 소하동","OK","37.4432784","126.8823406","소하동, 소하2동, 광명시, 경기도, 14323, 대한민국","node","4911938608",""
"대한민국 경기도 광명시 일직동","OK","37.4194860","126.8837827","일직동, 광명시, 경기도, 대한민국","relation","13590538",""
"대한민국 경기도 광명시 철산동","OK","37.4802090","126.8678124","철산동, 철산3동, 광명시, 경기도, 14233, 대한민국","node","4911938615",""
"대한민국 경기도 광명시 하안동","OK","37.4611134","126.8698981","하안동, 하안1동, 광명시, 경기도, 14259, 대한민국","node","4911938614",""
"대한민국 경기도 광명시 학온동","OK","37.4307416","126.8540778","학온동, 광명시, 경기도, 대한민국","relation","12761843",""
"대한민국 경기도 광주시 경안동","OK","37.4112600","127.2539300","경안동, 광주시, 경기도, 대한민국","relation","12608261",""
"대한민국 경기도 광주시 곤지암읍","OK","37.3499544","127.3619528","곤지암읍, 광주시, 경기도, 대한민국","relation","12608267",""
"대한민국 경기도 광주시 광남동","OK","37.3890193","127.2298173","광남동 행정복지센터, 45, 태봉로, 태전동, 광남2동, 광주시, 경기도, 12784, 대한민국","node","4631257804",""
"대한민국 경기도 광주시 남종면","OK","37.5004800","127.3175300","남종면, 광주시, 경기도, 대한민국","relation","12608256",""
"대한민국 경기도 광주시 남한산성면","OK","37.4611375","127.2324427","남한산성면, 광주시, 경기도, 대한민국","relation","12608258",""
"대한민국 경기도 광주시 능평동","OK","37.3505851","127.1616109","능평동, 용산골, 광주시, 경기도, 대한민국","relation","14139896",""
"대한민국 경기도 광주시 도척면","OK","37.3062000","127.3180900","도척면, 광주시, 경기도, 대한민국","relation","12608268",""
"대한민국 경기도 광주시 송정동","OK","37.4264102","127.2575353","송정동, 광주시, 경기도, 대한민국","relation","12608259",""
"대한민국 경기도 광주시 신현동","OK","37.3653600","127.1597800","신현동, 동막골, 광주시, 경기도, 대한민국","relation","14139895",""
"대한민국 경기도 광주시 쌍령동","OK","37.4030800","127.2708400","쌍령동, 대쌍령리, 광주시, 경기도, 12791, 대한민국","relation","12608262",""
"대한민국 경기도 광주시 오포동","OK","37.3654165","127.2326884","오포동, 광주시, 경기도, 대한민국","relation","14206047",""
"대한민국 경기도 광주시 초월읍","OK","37.3959800","127.3100900","초월읍, 광주시, 경기도, 대한민국","relation","12608266",""
"대한민국 경기도 광주시 탄벌동","OK","37.4319006","127.2227948","탄벌동, 광주시, 경기도, 대한민국","relation","12608260",""
"대한민국 경기도 광주시 퇴촌면","OK","37.4587800","127.3256000","퇴촌면, 광주시, 경기도, 대한민국","relation","12608257",""
"대한민국 경기도 구리시 갈매동","OK","37.6310565","127.1168045","갈매동, 구리시, 경기도, 11902, 대한민국","node","415154081",""
"대한민국 경기도 구리시 교문동","OK","37.5875737","127.1275277","교문동, 구리시, 경기도, 11954, 대한민국","node","4913947883",""
"대한민국 경기도 구리시 동구동","OK","37.6117004","127.1393514","동구동 행정복지센터, 25, 동구릉로148번길, 인창동, 구리시, 경기도, 11915, 대한민국","way","580029483",""
"대한민국 경기도 구리시 수택동","OK","37.5962736","127.1419836","수택동, 구리시, 경기도, 11932, 대한민국","node","415154096",""
"대한민국 경기도 구리시 인창동","OK","37.6130980","127.1319711","인창동, 구리시, 경기도, 11914, 대한민국","node","415154094",""
"대한민국 경기도 군포시 광정동","OK","37.3652654","126.9277554","광정동, 군포시, 경기도, 대한민국","relation","6962006",""
"대한민국 경기도 군포시 군포동","NOT_FOUND","","","","","",""
"대한민국 경기도 군포시 궁내동","OK","37.3596587","126.9218365","궁내동, 산본동, 경기도, 대한민국","relation","6962005",""
"대한민국 경기도 군포시 금정동","OK","37.3653542","126.9393439","금정동, 군포시, 경기도, 15827, 대한민국","node","4683649165",""
"대한민국 경기도 군포시 대야동","OK","37.3303161","126.9153537","대야동, 군포시, 경기도, 15886, 대한민국","node","4683649129",""
"대한민국 경기도 군포시 산본동","OK","37.3595509","126.9203336","산본동, 광정동, 군포시, 경기도, 대한민국","relation","6961911",""
"대한민국 경기도 군포시 송부동","OK","37.3203965","126.9250291","송부동, 군포시, 경기도, 대한민국","relation","12905460",""
"대한민국 경기도 군포시 수리동","OK","37.3559970","126.9210314","수리동, 산본동, 경기도, 대한민국","relation","6962004",""
"대한민국 경기도 군포시 오금동","OK","37.3510196","126.9295394","오금동, 금정동, 경기도, 대한민국","relation","6962000",""
"대한민국 경기도 군포시 재궁동","OK","37.3578972","126.9376392","재궁동, 금정동, 경기도, 대한민국","relation","6961999",""
"대한민국 경기도 김포시 고촌읍","OK","37.6059900","126.7619500","고촌읍, 김포시, 경기도, 대한민국","relation","8292262",""
"대한민국 경기도 김포시 구래동","OK","37.6438664","126.6290477","구래동, 양곡리, 김포시, 경기도, 대한민국","relation","13745801",""
"대한민국 경기도 김포시 김포본동","OK","37.6275594","126.7056939","김포본동 행정복지센터, 13, 북변1로, 북변동, 김포시, 경기도, 10106, 대한민국","node","368901480",""
"대한민국 경기도 김포시 대곶면","OK","37.6520600","126.5716900","대곶면, 김포시, 경기도, 대한민국","relation","8292489",""
"대한민국 경기도 김포시 마산동","OK","37.6400169","126.6431466","마산동, 구래리, 김포시, 경기도, 대한민국","relation","13745800",""
"대한민국 경기도 김포시 사우동","OK","37.6199671","126.7263650","사우동, 김포시, 경기도, 10111, 대한민국","node","4754104131",""
"대한민국 경기도 김포시 양촌읍","OK","37.6570591","126.6254451","양촌읍, 김포시, 경기도, 대한민국","relation","8292261",""
"대한민국 경기도 김포시 운양동","OK","37.6562562","126.6829889","운양동, 김포시, 경기도, 10078, 대한민국","node","4754104133",""
"대한민국 경기도 김포시 월곶면","OK","37.7181750","126.5500645","월곶면, 김포시, 경기도, 10024, 대한민국","relation","8292490",""
"대한민국 경기도 김포시 장기동","OK","37.6460000","126.6678400","장기동, 석모리, 김포시, 경기도, 10080, 대한민국","node","415153395",""
"대한민국 경기도 김포시 장기본동","OK","37.6523062","126.6717281","장기본동 행정복지센터, 1433, 김포대로, 운양동, 누산리, 김포시, 경기도, 10081, 대한민국","way","1226968229",""
"대한민국 경기도 김포시 통진읍","OK","37.6948000","126.6031200","통진읍, 김포시, 경기도, 대한민국","relation","8292492",""
"대한민국 경기도 김포시 풍무동","OK","37.6067383","126.7228355","풍무동, 김포시, 경기도, 10114, 대한민국","node","4754104130",""
"대한민국 경기도 김포시 하성면","OK","37.7297500","126.6361600","하성면, 김포시, 경기도, 대한민국","relation","8292491",""
"대한민국 경기도 남양주시 금곡동","OK","37.6334900","127.2165100","금곡동, 율석리, 남양주시, 경기도, 대한민국","relation","13357555",""
"대한민국 경기도 남양주시 다산동","OK","37.6113669","127.1602960","다산동, 다산1동, 남양주시, 경기도, 12251, 대한민국","node","415154098",""
"대한민국 경기도 남양주시 별내동","OK","37.6565148","127.1216627","별내동, 퇴계원리, 남양주시, 경기도, 대한민국","relation","10967371",""
"대한민국 경기도 남양주시 별내면","OK","37.7094209","127.1223847","별내면, 남양주시, 경기도, 대한민국","relation","10967370",""
"대한민국 경기도 남양주시 수동면","OK","37.7222169","127.3103805","수동면, 남양주시, 경기도, 대한민국","relation","12160140",""
"대한민국 경기도 남양주시 양정동","OK","37.6098927","127.1910156","양정동, 남양주시, 경기도, 대한민국","relation","13357556",""
"대한민국 경기도 남양주시 오남읍","OK","37.6938801","127.2230356","오남읍, 남양주시, 경기도, 대한민국","relation","12180933",""
"대한민국 경기도 남양주시 와부읍","OK","37.5946765","127.2374641","와부읍, 남양주시, 경기도, 대한민국","relation","12160240",""
"대한민국 경기도 남양주시 조안면","OK","37.5688200","127.2977100","조안면, 남양주시, 경기도, 대한민국","relation","12160241",""
"대한민국 경기도 남양주시 진건읍","OK","37.6575320","127.1788606","진건읍, 남양주시, 경기도, 대한민국","relation","12180932",""
"대한민국 경기도 남양주시 진접읍","OK","37.7228358","127.1976354","진접읍, 남양주시, 경기도, 대한민국","relation","12135579",""
"대한민국 경기도 남양주시 퇴계원읍","OK","37.6486812","127.1433630","퇴계원읍, 남양주시, 경기도, 대한민국","relation","12101423",""
"대한민국 경기도 남양주시 평내동","OK","37.6480755","127.2357794","평내동, 남양주시, 경기도, 12217, 대한민국","node","415154164",""
"대한민국 경기도 남양주시 호평동","OK","37.6576388","127.2465940","호평동, 남양주시, 경기도, 12147, 대한민국","node","4913947885",""
"대한민국 경기도 남양주시 화도읍","OK","37.6538308","127.3196785","화도읍, 남양주시, 경기도, 12181, 대한민국","node","415153536",""
"대한민국 경기도 동두천시 보산동","OK","37.9176604","127.0609443","보산동, 동두천시, 경기도, 11309, 대한민국","node","415152908",""
"대한민국 경기도 동두천시 불현동","OK","37.8984570","127.0625040","불현동 행정복지센터, 123, 행선로, 생연동, 동두천시, 경기도, 11358, 대한민국","node","368901324",""
"대한민국 경기도 동두천시 상패동","OK","37.9073575","127.0323924","상패동, 동두천시, 경기도, 11340, 대한민국","node","415152921",""
"대한민국 경기도 동두천시 생연동","OK","37.9051316","127.0609492","생연동, 동두천시, 경기도, 11313, 대한민국","node","415152910",""
"대한민국 경기도 동두천시 소요동","OK","37.9295380","127.0576286","소요동 행정복지센터, 2706, 평화로, 동두천동, 동두천시, 경기도, 11307, 대한민국","node","368901311",""
"대한민국 경기도 동두천시 송내동","OK","37.8811658","127.0616025","송내동, 동두천시, 경기도, 11366, 대한민국","node","415152909",""
"대한민국 경기도 동두천시 중앙동","OK","37.9077636","127.0532058","중앙동 행정복지센터, 172, 생연로, 보산동, 동두천시, 경기도, 11328, 대한민국","node","368901326",""
"대한민국 경기도 부천시 소사구 괴안동","OK","37.4821599","126.8114808","괴안동, 소사구, 부천시, 경기도, 대한민국","relation","8666158",""
"대한민국 경기도 부천시 소사구 범박동","OK","37.4697151","126.8117156","범박동, 소사구, 부천시, 경기도, 대한민국","relation","8666157",""
"대한민국 경기도 부천시 소사구 소사본동","OK","37.4734085","126.7947805","소사본동, 소사구, 부천시, 경기도, 대한민국","relation","8666159",""
"대한민국 경기도 부천시 소사구 송내동","OK","37.4829235","126.7630049","송내동, 소사구, 부천시, 경기도, 14728, 대한민국","node","4751255699",""
"대한민국 경기도 부천시 소사구 심곡본동","OK","37.4784640","126.7797815","심곡본동, 소사구, 부천시, 경기도, 대한민국","relation","8666161",""
"대한민국 경기도 부천시 소사구 역곡동","NOT_FOUND","","","","","",""
"대한민국 경기도 부천시 소사구 옥길동","OK","37.4681285","126.8282883","옥길동, 소사구, 부천시, 경기도, 14785, 대한민국","node","4751255649",""
"대한민국 경기도 부천시 오정구 고강동","OK","37.5269263","126.8208568","고강동 중앙경로당, 고리울로40번길, 고강동, 부천시, 경기도, 14408, 대한민국","way","768822777",""
"대한민국 경기도 부천시 오정구 고강본동","NOT_FOUND","","","","","",""
"대한민국 경기도 부천시 오정구 성곡동","NOT_FOUND","","","","","",""
"대한민국 경기도 부천시 오정구 신흥동","OK","37.5199587","126.7737023","신흥동 주민센터, 삼작로, 연립주택단지, 내동, 부천시, 경기도, 14451, 대한민국","way","490069578",""
"대한민국 경기도 부천시 오정구 오정동","NOT_FOUND","","","","","",""
"대한민국 경기도 부천시 오정구 원종동","NOT_FOUND","","","","","",""
"대한민국 경기도 부천시 원미구 도당동","OK","37.5139236","126.7827000","도당동, 원미구, 부천시, 경기도, 대한민국","relation","8666172",""
"대한민국 경기도 부천시 원미구 상동","OK","37.5058355","126.7531743","상동, 길주로, 원미구, 부천시, 경기도, 14545, 대한민국","node","3401205505",""
"대한민국 경기도 부천시 원미구 소사동","OK","37.4862030","126.7953149","소사동, 원미구, 부천시, 경기도, 대한민국","relation","8666164",""
"대한민국 경기도 부천시 원미구 심곡동","OK","37.4911516","126.7838692","심곡동, 원미구, 부천시, 경기도, 대한민국","relation","12748664",""
"대한민국 경기도 부천시 원미구 약대동","OK","37.5131306","126.7699687","약대동, 원미구, 부천시, 경기도, 대한민국","relation","8666173",""
"대한민국 경기도 부천시 원미구 역곡동","OK","37.4903062","126.8083179","역곡동, 원미구, 부천시, 경기도, 대한민국","relation","8666160",""
"대한민국 경기도 부천시 원미구 원미동","OK","37.4926826","126.7914425","원미동, 원미구, 부천시, 경기도, 14565, 대한민국","node","4751255701",""
"대한민국 경기도 부천시 원미구 중동","OK","37.4867775","126.7639671","중동, 석천로2번길, 상동, 원미구, 부천시, 경기도, 14625, 대한민국","node","355172816",""
"대한민국 경기도 부천시 원미구 춘의동","OK","37.5019274","126.8019570","춘의동, 원미구, 부천시, 경기도, 대한민국","relation","8666168",""
"대한민국 경기도 성남시 분당구 구미동","OK","37.3435400","127.1201200","구미동, 분당구, 성남시, 경기도, 13634, 대한민국","node","415155246",""
"대한민국 경기도 성남시 분당구 금곡동","OK","37.3607700","127.0974000","금곡동, 분당구, 성남시, 경기도, 13552, 대한민국","node","415155243",""
"대한민국 경기도 성남시 분당구 백현동","OK","37.3887318","127.1078551","백현동, 판교, 분당구, 성남시, 경기도, 13531, 대한민국","node","415155242",""
"대한민국 경기도 성남시 분당구 분당동","OK","37.3694400","127.1433600","분당동, 분당, 분당구, 성남시, 경기도, 13584, 대한민국","node","415155250",""
"대한민국 경기도 성남시 분당구 삼평동","OK","37.4017255","127.1019907","삼평동, 판교, 분당구, 성남시, 경기도, 13487, 대한민국","node","415155259",""
"대한민국 경기도 성남시 분당구 서현동","OK","37.3817897","127.1327823","서현동, 분당, 분당구, 성남시, 경기도, 13577, 대한민국","node","415155249",""
"대한민국 경기도 성남시 분당구 수내동","OK","37.3724400","127.1223600","수내동, 분당, 분당구, 성남시, 경기도, 13599, 대한민국","node","415155236",""
"대한민국 경기도 성남시 분당구 야탑동","OK","37.4058300","127.1458300","야탑동, 분당구, 성남시, 경기도, 13512, 대한민국","node","415155253",""
"대한민국 경기도 성남시 분당구 운중동","OK","37.3944345","127.0745340","운중동, 분당구, 성남시, 경기도, 13457, 대한민국","node","2879168504",""
"대한민국 경기도 성남시 분당구 이매동","OK","37.3959400","127.1332700","이매동, 판교, 분당구, 성남시, 경기도, 13569, 대한민국","node","415155252",""
"대한민국 경기도 성남시 분당구 정자동","OK","37.3662800","127.1187300","정자동, 분당, 분당구, 성남시, 경기도, 13607, 대한민국","node","415155237",""
"대한민국 경기도 성남시 분당구 판교동","OK","37.3899495","127.0985928","판교동, 판교, 분당구, 성남시, 경기도, 13479, 대한민국","node","415155262",""
"대한민국 경기도 성남시 수정구 고등동","OK","37.4305171","127.0959858","고등동, 수정구, 성남시, 경기도, 13105, 대한민국","node","4705475488",""
"대한민국 경기도 성남시 수정구 단대동","OK","37.4548200","127.1576700","단대동, 수정구, 성남시, 경기도, 13142, 대한민국","node","415155306",""
"대한민국 경기도 성남시 수정구 복정동","OK","37.4589600","127.1334000","복정동, 수정구, 성남시, 경기도, 13114, 대한민국","node","415155304",""
"대한민국 경기도 성남시 수정구 산성동","OK","37.4557600","127.1529100","산성동, 수정구, 성남시, 경기도, 13127, 대한민국","node","415155303",""
"대한민국 경기도 성남시 수정구 수진동","OK","37.4389492","127.1296112","수진동, 수정구, 성남시, 경기도, 13319, 대한민국","node","415155318",""
"대한민국 경기도 성남시 수정구 시흥동","OK","37.4191100","127.1018600","시흥동, 수정구, 성남시, 경기도, 13445, 대한민국","node","415155257",""
"대한민국 경기도 성남시 수정구 신촌동","OK","37.4578856","127.1080213","신촌동, 수정구, 성남시, 경기도, 13101, 대한민국","node","415155286",""
"대한민국 경기도 성남시 수정구 신흥동","OK","37.4466800","127.1470500","신흥동, 수정구, 성남시, 경기도, 13259, 대한민국","node","415155317",""
"대한민국 경기도 성남시 수정구 양지동","OK","37.4608584","127.1641951","양지동, 수정구, 성남시, 경기도, 13152, 대한민국","node","415155307",""
"대한민국 경기도 성남시 수정구 위례동","NOT_FOUND","","","","","",""
"대한민국 경기도 성남시 수정구 태평동","OK","37.4464330","127.1319544","태평동, 수정구, 성남시, 경기도, 13297, 대한민국","node","415155319",""
"대한민국 경기도 성남시 중원구 금광동","OK","37.4473100","127.1679700","금광동, 중원구, 성남시, 경기도, 13183, 대한민국","node","415155320",""
"대한민국 경기도 성남시 중원구 도촌동","OK","37.4146700","127.1573500","도촌동, 중원구, 성남시, 경기도, 13421, 대한민국","node","415155254",""
"대한민국 경기도 성남시 중원구 상대원동","OK","37.4421100","127.1740400","상대원동, 중원구, 성남시, 경기도, 13201, 대한민국","node","415155324",""
"대한민국 경기도 성남시 중원구 성남동","OK","37.4306800","127.1335800","성남동, 중원구, 성남시, 경기도, 13364, 대한민국","node","415155316",""
"대한민국 경기도 성남시 중원구 은행동","OK","37.4582980","127.1684660","은행동, 중원구, 성남시, 경기도, 13154, 대한민국","node","415155308",""
"대한민국 경기도 성남시 중원구 중앙동","OK","37.4388700","127.1525400","중앙동, 중원구, 성남시, 경기도, 13255, 대한민국","node","415155321",""
"대한민국 경기도 성남시 중원구 하대원동","OK","37.4283600","127.1443500","하대원동, 중원구, 성남시, 경기도, 13387, 대한민국","node","415155256",""
"대한민국 경기도 수원시 권선구 곡선동","OK","37.2433321","127.0333231","곡선동 행정복지센터, 174, 동수원로146번길, 곡반정동, 권선구, 수원시, 경기도, 16667, 대한민국","way","775607892",""
"대한민국 경기도 수원시 권선구 구운동","OK","37.2783252","126.9742236","구운동, 권선구, 수원시, 경기도, 16408, 대한민국","node","4629561462",""
"대한민국 경기도 수원시 권선구 권선동","OK","37.2508559","127.0307889","권선동, 권선구, 수원시, 경기도, 16558, 대한민국","node","415155189",""
"대한민국 경기도 수원시 권선구 금곡동","OK","37.2728973","126.9521411","금곡동, 권선구, 수원시, 경기도, 16397, 대한민국","node","4629561410",""
"대한민국 경기도 수원시 권선구 서둔동","OK","37.2722831","126.9869531","서둔동, 권선구, 수원시, 경기도, 16617, 대한민국","node","4686284682",""
"대한민국 경기도 수원시 권선구 세류동","OK","37.2571500","127.0124100","세류동, 권선구, 수원시, 경기도, 16587, 대한민국","node","415155188",""
"대한민국 경기도 수원시 권선구 입북동","OK","37.2939700","126.9574685","입북동, 권선구, 수원시, 경기도, 16367, 대한민국","node","4686284684",""
"대한민국 경기도 수원시 권선구 평동","OK","37.2548637","126.9925828","평동, 권선구, 수원시, 경기도, 16645, 대한민국","node","415156225",""
"대한민국 경기도 수원시 권선구 호매실동","OK","37.2663933","126.9571912","호매실동, 권선구, 수원시, 경기도, 16400, 대한민국","node","4629561411",""
"대한민국 경기도 수원시 영통구 광교동","OK","37.2842296","127.0521977","수원 광교동 우체국, 8, 혜령로, 영통구, 수원시, 경기도, 16509, 대한민국","node","4005134876",""
"대한민국 경기도 수원시 영통구 망포동","OK","37.2388116","127.0516653","망포동, 영통구, 수원시, 경기도, 16686, 대한민국","node","415156442",""
"대한민국 경기도 수원시 영통구 매탄동","OK","37.2661800","127.0472300","매탄동, 영통구, 수원시, 경기도, 16541, 대한민국","node","415155222",""
"대한민국 경기도 수원시 영통구 영통동","OK","37.2645833","127.0775472","GS25 황골주공점, 영통로, 영통동, 영통구, 수원시, 경기도, 16708, 대한민국","node","2527523813",""
"대한민국 경기도 수원시 영통구 원천동","OK","37.2735544","127.0591495","원천동, 영통구, 수원시, 경기도, 16515, 대한민국","node","415155220",""
"대한민국 경기도 수원시 장안구 송죽동","OK","37.3033091","127.0008226","송죽동, 장안구, 수원시, 경기도, 16303, 대한민국","node","415155206",""
"대한민국 경기도 수원시 장안구 연무동","OK","37.2925332","127.0265670","연무동, 장안구, 수원시, 경기도, 16221, 대한민국","node","415155208",""
"대한민국 경기도 수원시 장안구 영화동","OK","37.2927500","127.0136100","영화동, 장안구, 수원시, 경기도, 16269, 대한민국","node","415155204",""
"대한민국 경기도 수원시 장안구 율천동","OK","37.2978035","126.9715123","율천동 밤밭 문화센터, 35, 서부로2106번길, 율전동, 장안구, 수원시, 경기도, 16417, 대한민국","way","471369443",""
"대한민국 경기도 수원시 장안구 정자동","OK","37.2966073","126.9928359","정자동, 장안구, 수원시, 경기도, 16334, 대한민국","node","5029084446",""
"대한민국 경기도 수원시 장안구 조원동","OK","37.3039794","127.0122244","조원동, 장안구, 수원시, 경기도, 16283, 대한민국","node","7302517938",""
"대한민국 경기도 수원시 장안구 파장동","OK","37.3093591","126.9965323","파장동, 장안구, 수원시, 경기도, 16204, 대한민국","node","4686284681",""
"대한민국 경기도 수원시 팔달구 고등동","OK","37.2734763","127.0031678","고등동, 팔달구, 수원시, 경기도, 16447, 대한민국","node","415155181",""
"대한민국 경기도 수원시 팔달구 매교동","OK","37.2678861","127.0165984","매교동, 팔달구, 수원시, 경기도, 16467, 대한민국","node","415155183",""
"대한민국 경기도 수원시 팔달구 매산동","NOT_FOUND","","","","","",""
"대한민국 경기도 수원시 팔달구 우만동","OK","37.2843300","127.0327900","우만동, 팔달구, 수원시, 경기도, 16239, 대한민국","node","415155190",""
"대한민국 경기도 수원시 팔달구 인계동","OK","37.2682080","127.0293802","인계동, 팔달구, 수원시, 경기도, 16489, 대한민국","node","415155191",""
"대한민국 경기도 수원시 팔달구 지동","OK","37.2821700","127.0247700","지동, 팔달구, 수원시, 경기도, 16243, 대한민국","node","415155195",""
